emoji,keywords_ka,keywords_en
😮,გაკვირვებული|სიურპრიზი|გაკვირვება|გაოცებული|ეუფ|მართლა?|უი|პირი ღია|გაოგნებული|გაოცება|შოკი|ვაუ|ღია პირი,face with open mouth|surprised|gasp|wow|open mouth|surprise|omg|exclamation|impressed|shock|oh my god|face|mouth|open|shocked|sympathy
😯,გაოგნებული|ჩუმი გაოცება|გაოცება|ჩუმად|შოკი|გაჩუმებული|გაკვირვებული|შოკირებული|ჩუმი,hushed face|hushed|silent|surprised|gasp|hush|quiet|speechless|silence|shocked|oh|face|wow|stunned
😲,გაოცებული|სიურპრიზი|შოკირებული|შოკი|გაოცება|გაოგნება|გაკვირვება|გაკვირვებული|გაოცება დიდი|გადაირია|ვერ ვიჯერებ|სასწაული|დაუჯერებელი,astonished face|shocked|surprised|astonished|gasp|omg|wow|amazed|astounded|face|shock|totally
😳,სირცხვილი|გაწითლებული|გაოგნებული|გაკვირვებული|გაწითლება|მართლა|უი|შოკში ვარ|შოკი|ვაიმე|გაკვირვება|შერცხვენილი|შოკირებული|უხერხული,flushed face|shocked|omg|flushed|blushing|flush|shook|embarrassed|staring|oh my god|shy|surprised|cheeks|shock|wow|blush|gyatt|dazed|wtf|face|wide eyed
🥺,მენატრები|გთხოვ|მეტირება|მინდა|მუდარა|მწყინს|სუსტი|წყენა|საყვარელი თვალები|აუუ|საყვარელი|ტირილი ბევრი|უღრმესი მადლობა|მტირალა თვალები|თანაგრძნობა|ნახვამდის|პლზ|ბოდიში|სევდა|ღარიბი|მტირალა|დიდი თვალები,pleading face|weak|please|cute|sad|crying|hoping|puppy|refugees|miss you|missing|needing|orphans|pleading|simp|wanting|wholesome|begging|worried|feeling|beggars|poverty|tender|shy|sorry|kitten|poor|sniffle|caring|worrying|foundlings|pretty eyes|outcasts|cry|feelings|gentle|trembling|eyes|uwu|sleep|plz|puppy eyes|dear|hugging|jealous|mercy
🥹,ცრემლიანი თვალები|სიხარულის ცრემლი|ემოციური|გულაჩუყებული|სიხარულის ცრემლები|ვაიმე|სიამაყის ცრემლები|მადლიერი|ამაღელვებელი,face holding back tears|proud|holding back tears|emotional|touched|hits different|watery eyes|tears|tearful|gratitude|happy tears|angry|cry|uwu|grateful|resist|teary|sad
😦,შეშინებული გაოცება|პირი ღია|შეშინებული|ოპა|გაოცება|შიში|გაკვირვებული|პირდაღებული|შოკირებული,frowning face with open mouth|frowning|frowning open mouth|scared|surprised|shocked|face|frown|concerned|mouth|aghast|open
😧,შეძრწუნებული|დარდიანი|აღშფოთებული|შოკი|შიში|ვაიმე|ტანჯული|შეშინებული|ტკივილი,anguished face|anguished|scared|worried|shocked|pain|distressed|stunned|pained|face|anguish
😨,შიში|მეშინია|შეშინებული|დაფეთებული|პანიკა|შიშით კანკალი|ვაიმე|მშიშარა,fearful face|scared|fearful|afraid|fearing|terrified|nervous|fear|frightened|shocked|oops|panic|face
😰,შიში|შფოთვა|ცივი ოფლი|ნერვიულობა|გამოცდა|ნერვიული ოფლი|საშინელება|პანიკა|ოფლიანობა|შეშინებული|ნერვიული|სტრესი,anxious face with sweat|nervous|scared|worried|anxious|anxious with sweat|worrying|bad|blue|panic|cold sweat|spider|anxious sweat|fearing|trembling|sweat|afraid|mosquito|spiders|cold|sweating|face|rushed|sweaty
😥,ნაღვლიანი მაგრამ შემსუბუქებული|ცრემლი|ნაღვლიანი|შვება|ნაღველი|სევდა|შვება ოფლით|სევდიანი|ნერვიული|გადარჩენა,sad but relieved face|sweat|sad but relieved|anxious|grief|phew|sad relief|nervous|sad|relief|disappointed relieved|worried|tear|concerned|disappointed|face|relieved|whew
😢,ცრემლი|სევდა|ტირილი|სევდიანი|ტკივილი|ვტირი|მონატრება|ცუდად|წაგება|ბავშვის ტირილი|გულგატეხილი|გული გატეხილი|მეწყინა|ღალატი|წყენა|დრამა|მოწყენილი|გული მეწვის|მენატრები|ატირებული,crying face|sad|crying|cry|losing|hurting|broken heart|lose|losses|tear|bad|emotions|missing|weeping|loser|orphans|poor|sorrow|unhappy|friendzone|left on read|sniffle|hurt|withering|face
😭,ვტირი|ტირილი|ცრემლი|დეპრესია|მწარე ტირილი|სიხარულის ცრემლები|ტირილი ბევრი|ისტერიკა|გულამოსკვნილი|ბღავილი|ძალიან სასაცილოა|ვაიმეე|მეტირება|საშინლად|ტრაგედია|სუპერ სიცილი|მენატრები|ცუდად ვარ|ხმამაღლა ტირილი|სევდა|მწუხარება,loudly crying face|mourner|sad|crying|cry|screaming|victims|sob|grieving|loudly crying|pain|sobbing|sufferers|suffering|tragedy|weeping|im dead|mood|tears|drama|grief|heartbroken|salty|sending me|loud crying|lmao|miss you|hilarious|hurting|mourning|dead|bawling|broken heart|onion|lol|dying|omg|overflowing|face|tear
